 0 1 2
0 0.054 0.009 0
1 0.039 0.034 0
2 0.01 -0.063 0
3 0.052 0.085 0
4 -0.081 0.009 0
5 -0.044 -0.058 0
6 0.013 0.06 0
7 -0.098 0.0 0
8 -0.033 -0.062 0
9 -0.024 -0.094 0
10 -0.003 0.049 0
11 0.058 0.012 0
12 -0.077 0.004 0
13 0.099 -0.082 0
14 0.026 -0.037 0
15 0.009 -0.011 0
16 -0.071 0.924 0
17 0.029 1.085 0
18 0.024 1.055 0
19 -0.062 0.985 0
20 -0.058 0.973 0
21 0.023 0.913 0
22 -0.085 1.014 0
23 -0.051 0.981 0
24 -0.05 0.998 0
25 -0.075 0.991 0
26 0.051 1.079 0
27 0.098 0.951 0
28 -0.08 0.979 0
29 0.018 0.958 0
30 -0.097 0.954 0
31 -0.027 1.001 0
32 1.034 -0.009 0
33 0.972 -0.091 0
34 0.935 -0.045 0
35 1.036 -0.001 0
36 0.927 -0.025 0
37 1.005 -0.098 0
38 1.028 -0.015 0
39 0.937 0.031 0
40 0.906 -0.094 0
41 0.902 0.031 0
42 1.018 0.041 0
43 0.978 0.094 0
44 0.932 -0.074 0
45 0.923 -0.056 0
46 0.959 0.059 0
47 0.941 -0.091 0
48 0.983 -0.091 0
49 0.921 -0.027 0
50 0.916 1.007 1
51 1.007 0.925 1
52 1.074 0.994 1
53 1.056 0.95 1
54 1.078 0.938 1
55 0.9 1.073 1
56 1.094 0.922 1
57 0.985 0.901 1
58 1.011 1.06 1
59 1.095 0.919 1
60 0.937 1.004 1
61 0.966 0.91 1
62 0.962 1.003 1
63 0.986 0.949 1
64 1.048 0.948 1
65 1.04 1.043 1
66 1.055 1.079 1
67 0.905 0.926 1
68 1.003 1.069 1
69 0.911 1.057 1
70 0.923 0.975 1
71 1.005 1.045 1
72 1.059 0.925 1
73 1.068 1.059 1
74 0.925 0.928 1
75 0.951 0.903 1
76 0.902 1.007 1
77 0.987 0.924 1
78 1.04 1.095 1
79 0.926 0.937 1
80 1.073 0.958 1
81 0.932 0.965 1
82 0.96 0.951 1
83 1.019 1.084 1
84 1.085 1.086 1
85 1.014 1.093 1
86 0.921 0.935 1
87 0.983 0.968 1
88 1.041 0.922 1
89 1.039 1.03 1
90 1.011 0.998 1
91 1.022 1.072 1
92 0.925 1.005 1
93 1.095 0.96 1
94 1.035 1.092 1
95 1.095 0.992 1
96 1.091 1.001 1
97 0.973 1.085 1
98 1.09 0.944 1
99 0.938 1.032 1
