 0 1 2
0 -0.077 -0.052 -1
1 -0.052 0.093 -1
2 0.076 0.015 -1
3 -0.087 -0.026 -1
4 0.061 -0.013 -1
5 -0.023 -0.06 -1
6 0.054 0.07 -1
7 0.074 0.024 -1
8 0.09 0.084 -1
9 -0.021 -0.078 -1
10 0.038 1.055 -1
11 0.005 0.952 -1
12 0.059 1.099 -1
13 0.023 0.985 -1
14 0.03 1.051 -1
15 -0.072 0.907 -1
16 0.051 1.047 -1
17 0.008 1.025 -1
18 0.021 1.019 -1
19 0.094 1.084 -1
20 1.017 -0.028 -1
21 1.029 0.084 -1
22 0.967 0.018 -1
23 1.042 -0.077 -1
24 1.007 -0.039 -1
25 1.018 -0.083 -1
26 1.015 -0.061 -1
27 0.981 -0.056 -1
28 0.905 0.075 -1
29 1.089 -0.073 -1
30 0.902 0.979 1
31 1.087 0.962 1
32 0.969 0.911 1
33 1.016 0.991 1
34 0.95 0.938 1
35 0.948 1.035 1
36 0.95 0.978 1
37 0.98 1.042 1
38 0.981 0.938 1
39 0.942 1.092 1
