 0 1 2
0 0.023 -0.012 0
1 -0.052 0.096 0
2 0.036 -0.085 0
3 -0.004 -0.092 0
4 -0.002 -0.052 0
5 -0.004 0.085 0
6 -0.053 -0.013 0
7 0.056 -0.09 0
8 -0.041 -0.085 0
9 -0.06 -0.016 0
10 -0.075 -0.063 0
11 0.033 0.041 0
12 -0.025 -0.087 0
13 -0.02 0.019 0
14 -0.01 0.053 0
15 -0.013 -0.076 0
16 -0.034 -0.063 0
17 -0.066 -0.092 0
18 0.063 0.053 0
19 -0.04 -0.028 0
20 0.02 -0.045 0
21 -0.057 -0.021 0
22 -0.066 0.023 0
23 0.0 -0.014 0
24 -0.052 0.082 0
25 0.025 1.044 0
26 0.037 0.991 0
27 -0.006 0.946 0
28 -0.048 1.026 0
29 0.011 0.95 0
30 -0.09 1.021 0
31 0.025 0.956 0
32 -0.012 1.039 0
33 -0.04 0.921 0
34 -0.041 0.991 0
35 0.064 0.956 0
36 0.007 0.998 0
37 -0.095 0.925 0
38 0.085 0.977 0
39 0.046 0.941 0
40 0.08 1.014 0
41 0.096 1.077 0
42 0.026 1.088 0
43 -0.096 0.902 0
44 -0.011 0.988 0
45 0.037 0.999 0
46 -0.051 0.962 0
47 -0.048 0.983 0
48 0.079 0.937 0
49 -0.028 0.99 0
50 1.067 -0.03 0
51 0.961 0.037 0
52 1.052 0.087 0
53 0.952 0.064 0
54 1.084 0.084 0
55 1.022 0.082 0
56 0.951 0.048 0
57 1.011 -0.033 0
58 1.037 -0.027 0
59 0.981 0.018 0
60 0.927 -0.014 0
61 0.926 0.064 0
62 1.012 0.064 0
63 0.925 0.024 0
64 1.093 -0.007 0
65 0.92 0.046 0
66 1.01 0.016 0
67 0.945 0.038 0
68 0.944 -0.015 0
69 1.004 -0.092 0
70 1.078 0.057 0
71 1.056 -0.04 0
72 0.964 -0.09 0
73 0.943 -0.011 0
74 1.046 -0.082 0
75 0.989 0.938 1
76 0.921 0.975 1
77 0.943 0.935 1
78 1.026 1.085 1
79 1.061 1.04 1
80 0.97 1.097 1
81 0.928 1.097 1
82 1.008 0.968 1
83 0.942 0.977 1
84 1.001 1.058 1
85 0.995 0.929 1
86 0.974 0.904 1
87 1.074 1.086 1
88 1.066 1.037 1
89 1.02 0.931 1
90 0.953 1.057 1
91 1.066 1.025 1
92 0.997 0.99 1
93 1.038 1.035 1
94 1.088 0.918 1
95 0.996 1.042 1
96 0.931 1.014 1
97 1.017 0.923 1
98 0.927 0.93 1
99 1.047 1.057 1
100 1.057 1.094 1
101 1.051 0.92 1
102 0.909 1.055 1
103 1.095 0.996 1
104 1.028 1.044 1
105 1.07 0.989 1
106 0.918 0.99 1
107 0.954 0.952 1
108 1.043 1.072 1
109 1.061 0.969 1
110 1.057 1.03 1
111 0.994 1.076 1
112 1.082 1.022 1
113 1.062 1.046 1
114 1.069 1.015 1
115 0.916 1.001 1
116 1.06 0.954 1
117 1.098 0.902 1
118 0.921 1.099 1
119 0.949 1.098 1
120 1.041 0.943 1
121 0.988 1.002 1
122 1.0 0.915 1
123 0.93 0.934 1
124 1.097 1.078 1
125 0.96 1.046 1
126 1.066 0.908 1
127 0.951 1.096 1
128 1.044 1.007 1
129 1.036 1.055 1
130 1.056 0.945 1
131 0.936 0.911 1
132 1.025 0.992 1
133 0.947 1.019 1
134 0.967 1.096 1
135 1.018 0.925 1
136 0.943 1.031 1
137 0.99 1.06 1
138 1.05 1.067 1
139 1.053 0.942 1
140 1.092 0.925 1
141 1.067 1.042 1
142 0.901 1.089 1
143 0.973 0.919 1
144 1.052 1.01 1
145 1.096 1.057 1
146 0.958 0.941 1
147 0.919 1.037 1
148 1.0 0.981 1
149 0.946 0.994 1
